serial_id,date,product_id,product_name,quantity
1,15-12-2025,7,Eggs,3
2,08-07-2025,8,Bread,5
3,02-05-2025,7,Eggs,3
4,27-11-2025,7,Eggs,3
5,10-04-2025,8,Bread,3
6,05-11-2025,6,Cooking Oil,2
7,21-10-2025,8,Bread,2
8,10-06-2025,5,Salt,2
9,10-09-2025,6,Cooking Oil,1
10,28-02-2025,1,Rice,3
11,01-09-2025,7,Eggs,1
12,03-11-2025,3,Milk,5
13,16-06-2025,9,Tea,2
14,30-03-2025,4,Sugar,2
15,22-09-2025,2,Wheat Flour,5
16,06-12-2025,2,Wheat Flour,7
17,04-02-2025,8,Bread,1
18,19-02-2025,4,Sugar,2
19,23-02-2025,6,Cooking Oil,2
20,06-11-2025,4,Sugar,1
21,06-08-2025,2,Wheat Flour,2
22,27-09-2025,10,Coffee,3
23,03-08-2025,8,Bread,4
24,09-07-2025,9,Tea,1
25,22-02-2025,2,Wheat Flour,8
26,05-08-2025,10,Coffee,1
27,06-06-2025,9,Tea,3
28,11-12-2025,1,Rice,7
29,10-12-2025,9,Tea,1
30,04-03-2025,8,Bread,3
31,22-03-2025,3,Milk,3
32,16-10-2025,3,Milk,3
33,19-08-2025,5,Salt,2
34,28-01-2025,9,Tea,3
35,24-11-2025,9,Tea,2
36,17-02-2025,1,Rice,7
37,03-03-2025,7,Eggs,5
38,21-06-2025,3,Milk,3
39,15-08-2025,3,Milk,5
40,14-09-2025,3,Milk,5
41,12-09-2025,10,Coffee,2
42,10-10-2025,7,Eggs,1
43,11-02-2025,10,Coffee,1
44,04-03-2025,3,Milk,1
45,06-04-2025,4,Sugar,2
46,19-08-2025,5,Salt,1
47,13-01-2025,4,Sugar,3
48,27-03-2025,3,Milk,4
49,19-06-2025,2,Wheat Flour,9
50,14-05-2025,5,Salt,2
51,14-12-2025,10,Coffee,1
52,09-07-2025,7,Eggs,1
53,10-10-2025,1,Rice,9
54,21-08-2025,4,Sugar,3
55,17-07-2025,7,Eggs,3
56,14-11-2025,9,Tea,1
57,03-11-2025,1,Rice,8
58,09-06-2025,6,Cooking Oil,1
59,23-04-2025,4,Sugar,2
60,21-02-2025,1,Rice,7
61,23-04-2025,2,Wheat Flour,5
62,22-03-2025,1,Rice,1
63,10-05-2025,2,Wheat Flour,6
64,12-08-2025,7,Eggs,1
65,06-05-2025,1,Rice,2
66,21-06-2025,5,Salt,2
67,04-09-2025,6,Cooking Oil,3
68,03-05-2025,8,Bread,1
69,07-10-2025,6,Cooking Oil,1
70,08-04-2025,4,Sugar,2
71,28-08-2025,6,Cooking Oil,1
72,04-05-2025,9,Tea,3
73,15-12-2025,6,Cooking Oil,3
74,09-09-2025,4,Sugar,3
75,12-12-2025,4,Sugar,3
76,28-05-2025,3,Milk,4
77,08-05-2025,9,Tea,3
78,26-12-2025,2,Wheat Flour,1
79,31-05-2025,9,Tea,3
80,09-04-2025,10,Coffee,3
81,22-04-2025,10,Coffee,1
82,01-03-2025,4,Sugar,1
83,31-10-2025,2,Wheat Flour,5
84,09-06-2025,5,Salt,3
85,09-01-2025,7,Eggs,1
86,27-05-2025,3,Milk,3
87,01-06-2025,4,Sugar,2
88,10-06-2025,8,Bread,4
89,14-04-2025,1,Rice,4
90,22-04-2025,3,Milk,1
91,02-06-2025,3,Milk,5
92,04-12-2025,2,Wheat Flour,2
93,12-06-2025,6,Cooking Oil,1
94,10-06-2025,9,Tea,1
95,31-10-2025,5,Salt,3
96,08-05-2025,3,Milk,1
97,22-01-2025,3,Milk,5
98,21-09-2025,3,Milk,3
99,04-10-2025,2,Wheat Flour,1
100,13-11-2025,1,Rice,3
101,04-02-2025,4,Sugar,1
102,21-06-2025,1,Rice,5
103,09-04-2025,6,Cooking Oil,1
104,07-10-2025,5,Salt,1
105,29-10-2025,1,Rice,5
106,07-07-2025,3,Milk,1
107,10-07-2025,4,Sugar,1
108,10-06-2025,5,Salt,3
109,08-10-2025,2,Wheat Flour,6
110,19-11-2025,10,Coffee,2
111,24-04-2025,8,Bread,2
112,30-09-2025,10,Coffee,1
113,26-10-2025,9,Tea,2
114,19-06-2025,7,Eggs,2
115,02-11-2025,3,Milk,1
116,13-01-2025,8,Bread,4
117,09-11-2025,10,Coffee,1
118,17-11-2025,4,Sugar,2
119,23-05-2025,3,Milk,4
120,18-11-2025,2,Wheat Flour,7
121,20-02-2025,6,Cooking Oil,1
122,04-03-2025,10,Coffee,2
123,10-11-2025,6,Cooking Oil,2
124,01-11-2025,6,Cooking Oil,2
125,28-09-2025,6,Cooking Oil,2
126,21-09-2025,5,Salt,1
127,13-04-2025,5,Salt,2
128,16-12-2025,4,Sugar,3
129,07-11-2025,3,Milk,4
130,04-05-2025,2,Wheat Flour,3
131,30-04-2025,1,Rice,3
132,12-12-2025,10,Coffee,1
133,27-04-2025,10,Coffee,2
134,07-05-2025,7,Eggs,1
135,09-05-2025,5,Salt,2
136,01-01-2025,10,Coffee,3
137,06-04-2025,2,Wheat Flour,6
138,25-08-2025,9,Tea,1
139,29-09-2025,1,Rice,7
140,05-10-2025,5,Salt,1
141,17-03-2025,7,Eggs,2
142,27-03-2025,3,Milk,1
143,16-02-2025,5,Salt,1
144,23-07-2025,4,Sugar,2
145,07-12-2025,10,Coffee,3
146,16-10-2025,4,Sugar,2
147,23-01-2025,5,Salt,2
148,03-09-2025,10,Coffee,1
149,17-10-2025,4,Sugar,3
150,07-09-2025,10,Coffee,3
151,06-04-2025,10,Coffee,1
152,21-11-2025,8,Bread,5
153,16-01-2025,4,Sugar,3
154,09-06-2025,2,Wheat Flour,4
155,27-06-2025,8,Bread,3
156,28-06-2025,1,Rice,5
157,06-03-2025,3,Milk,1
158,26-11-2025,8,Bread,3
159,10-09-2025,2,Wheat Flour,3
160,04-02-2025,2,Wheat Flour,7
161,31-03-2025,1,Rice,8
162,31-03-2025,10,Coffee,2
163,25-04-2025,2,Wheat Flour,9
164,15-07-2025,7,Eggs,2
165,24-04-2025,5,Salt,1
166,05-08-2025,8,Bread,5
167,13-06-2025,9,Tea,2
168,11-07-2025,5,Salt,3
169,09-04-2025,1,Rice,4
170,06-04-2025,2,Wheat Flour,8
171,09-07-2025,7,Eggs,5
172,02-07-2025,1,Rice,7
173,21-12-2025,9,Tea,1
174,03-03-2025,1,Rice,4
175,08-12-2025,9,Tea,1
176,26-06-2025,3,Milk,4
177,17-03-2025,9,Tea,1
178,11-10-2025,7,Eggs,4
179,24-05-2025,3,Milk,5
180,09-04-2025,5,Salt,1
181,22-02-2025,4,Sugar,3
182,08-02-2025,9,Tea,1
183,11-02-2025,5,Salt,2
184,11-08-2025,7,Eggs,2
185,12-06-2025,5,Salt,3
186,27-08-2025,2,Wheat Flour,9
187,10-09-2025,10,Coffee,2
188,23-06-2025,7,Eggs,5
189,19-06-2025,8,Bread,1
190,10-10-2025,2,Wheat Flour,2
